date,station,hour,passenger_count,is_weekend,is_am_peak,is_pm_peak
2025-01-01,Aluva,6,177,0,0,0
2025-01-01,Aluva,7,171,0,0,0
2025-01-01,Aluva,8,500,0,1,0
2025-01-01,Aluva,9,514,0,1,0
2025-01-01,Aluva,10,526,0,1,0
2025-01-01,Aluva,11,207,0,0,0
2025-01-01,Aluva,12,204,0,0,0
2025-01-01,Aluva,13,193,0,0,0
2025-01-01,Aluva,14,187,0,0,0
2025-01-01,Aluva,15,201,0,0,0
2025-01-01,Aluva,16,188,0,0,0
2025-01-01,Aluva,17,513,0,0,1
2025-01-01,Aluva,18,515,0,0,1
2025-01-01,Aluva,19,518,0,0,1
2025-01-01,Aluva,20,504,0,0,1
2025-01-01,Aluva,21,210,0,0,0
2025-01-01,Aluva,22,183,0,0,0
2025-01-01,Pulinchodu,6,91,0,0,0
2025-01-01,Pulinchodu,7,69,0,0,0
2025-01-01,Pulinchodu,8,199,0,1,0
2025-01-01,Pulinchodu,9,200,0,1,0
2025-01-01,Pulinchodu,10,217,0,1,0
2025-01-01,Pulinchodu,11,85,0,0,0
2025-01-01,Pulinchodu,12,89,0,0,0
2025-01-01,Pulinchodu,13,82,0,0,0
2025-01-01,Pulinchodu,14,97,0,0,0
2025-01-01,Pulinchodu,15,78,0,0,0
2025-01-01,Pulinchodu,16,94,0,0,0
2025-01-01,Pulinchodu,17,222,0,0,1
2025-01-01,Pulinchodu,18,205,0,0,1
2025-01-01,Pulinchodu,19,202,0,0,1
2025-01-01,Pulinchodu,20,201,0,0,1
2025-01-01,Pulinchodu,21,86,0,0,0
2025-01-01,Pulinchodu,22,93,0,0,0
2025-01-01,Companypady,6,87,0,0,0
2025-01-01,Companypady,7,83,0,0,0
2025-01-01,Companypady,8,185,0,1,0
2025-01-01,Companypady,9,208,0,1,0
2025-01-01,Companypady,10,200,0,1,0
2025-01-01,Companypady,11,89,0,0,0
2025-01-01,Companypady,12,92,0,0,0
2025-01-01,Companypady,13,81,0,0,0
2025-01-01,Companypady,14,88,0,0,0
2025-01-01,Companypady,15,88,0,0,0
2025-01-01,Companypady,16,69,0,0,0
2025-01-01,Companypady,17,204,0,0,1
2025-01-01,Companypady,18,206,0,0,1
2025-01-01,Companypady,19,192,0,0,1
2025-01-01,Companypady,20,188,0,0,1
2025-01-01,Companypady,21,83,0,0,0
2025-01-01,Companypady,22,76,0,0,0
2025-01-01,Ambattukavu,6,62,0,0,0
2025-01-01,Ambattukavu,7,77,0,0,0
2025-01-01,Ambattukavu,8,214,0,1,0
2025-01-01,Ambattukavu,9,199,0,1,0
2025-01-01,Ambattukavu,10,209,0,1,0
2025-01-01,Ambattukavu,11,68,0,0,0
2025-01-01,Ambattukavu,12,83,0,0,0
2025-01-01,Ambattukavu,13,89,0,0,0
2025-01-01,Ambattukavu,14,95,0,0,0
2025-01-01,Ambattukavu,15,69,0,0,0
2025-01-01,Ambattukavu,16,69,0,0,0
2025-01-01,Ambattukavu,17,193,0,0,1
2025-01-01,Ambattukavu,18,225,0,0,1
2025-01-01,Ambattukavu,19,201,0,0,1
2025-01-01,Ambattukavu,20,192,0,0,1
2025-01-01,Ambattukavu,21,83,0,0,0
2025-01-01,Ambattukavu,22,76,0,0,0
2025-01-01,Muttom,6,85,0,0,0
2025-01-01,Muttom,7,66,0,0,0
2025-01-01,Muttom,8,198,0,1,0
2025-01-01,Muttom,9,212,0,1,0
2025-01-01,Muttom,10,190,0,1,0
2025-01-01,Muttom,11,93,0,0,0
2025-01-01,Muttom,12,72,0,0,0
2025-01-01,Muttom,13,88,0,0,0
2025-01-01,Muttom,14,69,0,0,0
2025-01-01,Muttom,15,90,0,0,0
2025-01-01,Muttom,16,81,0,0,0
2025-01-01,Muttom,17,191,0,0,1
2025-01-01,Muttom,18,194,0,0,1
2025-01-01,Muttom,19,197,0,0,1
2025-01-01,Muttom,20,196,0,0,1
2025-01-01,Muttom,21,81,0,0,0
2025-01-01,Muttom,22,80,0,0,0
2025-01-01,Kalamassery,6,191,0,0,0
2025-01-01,Kalamassery,7,202,0,0,0
2025-01-01,Kalamassery,8,506,0,1,0
2025-01-01,Kalamassery,9,480,0,1,0
2025-01-01,Kalamassery,10,525,0,1,0
2025-01-01,Kalamassery,11,171,0,0,0
2025-01-01,Kalamassery,12,197,0,0,0
2025-01-01,Kalamassery,13,213,0,0,0
2025-01-01,Kalamassery,14,186,0,0,0
2025-01-01,Kalamassery,15,188,0,0,0
2025-01-01,Kalamassery,16,206,0,0,0
2025-01-01,Kalamassery,17,511,0,0,1
2025-01-01,Kalamassery,18,476,0,0,1
2025-01-01,Kalamassery,19,474,0,0,1
2025-01-01,Kalamassery,20,544,0,0,1
2025-01-01,Kalamassery,21,198,0,0,0
2025-01-01,Kalamassery,22,189,0,0,0
2025-01-01,CUSAT,6,70,0,0,0
2025-01-01,CUSAT,7,79,0,0,0
2025-01-01,CUSAT,8,191,0,1,0
2025-01-01,CUSAT,9,198,0,1,0
2025-01-01,CUSAT,10,169,0,1,0
2025-01-01,CUSAT,11,87,0,0,0
2025-01-01,CUSAT,12,68,0,0,0
2025-01-01,CUSAT,13,96,0,0,0
2025-01-01,CUSAT,14,81,0,0,0
2025-01-01,CUSAT,15,77,0,0,0
2025-01-01,CUSAT,16,81,0,0,0
2025-01-01,CUSAT,17,188,0,0,1
2025-01-01,CUSAT,18,205,0,0,1
2025-01-01,CUSAT,19,182,0,0,1
2025-01-01,CUSAT,20,183,0,0,1
2025-01-01,CUSAT,21,90,0,0,0
2025-01-01,CUSAT,22,85,0,0,0
2025-01-01,Pathadipalam,6,81,0,0,0
2025-01-01,Pathadipalam,7,62,0,0,0
2025-01-01,Pathadipalam,8,213,0,1,0
2025-01-01,Pathadipalam,9,232,0,1,0
2025-01-01,Pathadipalam,10,197,0,1,0
2025-01-01,Pathadipalam,11,78,0,0,0
2025-01-01,Pathadipalam,12,75,0,0,0
2025-01-01,Pathadipalam,13,81,0,0,0
2025-01-01,Pathadipalam,14,78,0,0,0
2025-01-01,Pathadipalam,15,74,0,0,0
2025-01-01,Pathadipalam,16,82,0,0,0
2025-01-01,Pathadipalam,17,189,0,0,1
2025-01-01,Pathadipalam,18,222,0,0,1
2025-01-01,Pathadipalam,19,206,0,0,1
2025-01-01,Pathadipalam,20,228,0,0,1
2025-01-01,Pathadipalam,21,73,0,0,0
2025-01-01,Pathadipalam,22,75,0,0,0
2025-01-01,Edappally,6,189,0,0,0
2025-01-01,Edappally,7,210,0,0,0
2025-01-01,Edappally,8,521,0,1,0
2025-01-01,Edappally,9,471,0,1,0
2025-01-01,Edappally,10,507,0,1,0
2025-01-01,Edappally,11,204,0,0,0
2025-01-01,Edappally,12,189,0,0,0
2025-01-01,Edappally,13,190,0,0,0
2025-01-01,Edappally,14,201,0,0,0
2025-01-01,Edappally,15,170,0,0,0
2025-01-01,Edappally,16,208,0,0,0
2025-01-01,Edappally,17,517,0,0,1
2025-01-01,Edappally,18,465,0,0,1
2025-01-01,Edappally,19,548,0,0,1
2025-01-01,Edappally,20,475,0,0,1
2025-01-01,Edappally,21,182,0,0,0
2025-01-01,Edappally,22,190,0,0,0
2025-01-01,Changampuzha Park,6,88,0,0,0
2025-01-01,Changampuzha Park,7,79,0,0,0
2025-01-01,Changampuzha Park,8,210,0,1,0
2025-01-01,Changampuzha Park,9,185,0,1,0
2025-01-01,Changampuzha Park,10,199,0,1,0
2025-01-01,Changampuzha Park,11,77,0,0,0
2025-01-01,Changampuzha Park,12,65,0,0,0
2025-01-01,Changampuzha Park,13,82,0,0,0
2025-01-01,Changampuzha Park,14,81,0,0,0
2025-01-01,Changampuzha Park,15,77,0,0,0
2025-01-01,Changampuzha Park,16,78,0,0,0
2025-01-01,Changampuzha Park,17,210,0,0,1
2025-01-01,Changampuzha Park,18,180,0,0,1
2025-01-01,Changampuzha Park,19,214,0,0,1
2025-01-01,Changampuzha Park,20,211,0,0,1
2025-01-01,Changampuzha Park,21,78,0,0,0
2025-01-01,Changampuzha Park,22,67,0,0,0
2025-01-01,Palarivattom,6,78,0,0,0
2025-01-01,Palarivattom,7,67,0,0,0
2025-01-01,Palarivattom,8,195,0,1,0
2025-01-01,Palarivattom,9,187,0,1,0
2025-01-01,Palarivattom,10,191,0,1,0
2025-01-01,Palarivattom,11,73,0,0,0
2025-01-01,Palarivattom,12,73,0,0,0
2025-01-01,Palarivattom,13,91,0,0,0
2025-01-01,Palarivattom,14,76,0,0,0
2025-01-01,Palarivattom,15,83,0,0,0
2025-01-01,Palarivattom,16,78,0,0,0
2025-01-01,Palarivattom,17,206,0,0,1
2025-01-01,Palarivattom,18,199,0,0,1
2025-01-01,Palarivattom,19,194,0,0,1
2025-01-01,Palarivattom,20,194,0,0,1
2025-01-01,Palarivattom,21,76,0,0,0
2025-01-01,Palarivattom,22,80,0,0,0
2025-01-01,JLN Stadium,6,85,0,0,0
2025-01-01,JLN Stadium,7,75,0,0,0
2025-01-01,JLN Stadium,8,194,0,1,0
2025-01-01,JLN Stadium,9,190,0,1,0
2025-01-01,JLN Stadium,10,178,0,1,0
2025-01-01,JLN Stadium,11,86,0,0,0
2025-01-01,JLN Stadium,12,82,0,0,0
2025-01-01,JLN Stadium,13,73,0,0,0
2025-01-01,JLN Stadium,14,80,0,0,0
2025-01-01,JLN Stadium,15,76,0,0,0
2025-01-01,JLN Stadium,16,77,0,0,0
2025-01-01,JLN Stadium,17,205,0,0,1
2025-01-01,JLN Stadium,18,195,0,0,1
2025-01-01,JLN Stadium,19,200,0,0,1
2025-01-01,JLN Stadium,20,197,0,0,1
2025-01-01,JLN Stadium,21,82,0,0,0
2025-01-01,JLN Stadium,22,76,0,0,0
2025-01-01,Kaloor Town Hall,6,73,0,0,0
2025-01-01,Kaloor Town Hall,7,83,0,0,0
2025-01-01,Kaloor Town Hall,8,220,0,1,0
2025-01-01,Kaloor Town Hall,9,210,0,1,0
2025-01-01,Kaloor Town Hall,10,218,0,1,0
2025-01-01,Kaloor Town Hall,11,81,0,0,0
2025-01-01,Kaloor Town Hall,12,88,0,0,0
2025-01-01,Kaloor Town Hall,13,72,0,0,0
2025-01-01,Kaloor Town Hall,14,76,0,0,0
2025-01-01,Kaloor Town Hall,15,94,0,0,0
2025-01-01,Kaloor Town Hall,16,81,0,0,0
2025-01-01,Kaloor Town Hall,17,207,0,0,1
2025-01-01,Kaloor Town Hall,18,175,0,0,1
2025-01-01,Kaloor Town Hall,19,192,0,0,1
2025-01-01,Kaloor Town Hall,20,185,0,0,1
2025-01-01,Kaloor Town Hall,21,77,0,0,0
2025-01-01,Kaloor Town Hall,22,93,0,0,0
2025-01-01,MG Road,6,207,0,0,0
2025-01-01,MG Road,7,207,0,0,0
2025-01-01,MG Road,8,518,0,1,0
2025-01-01,MG Road,9,496,0,1,0
2025-01-01,MG Road,10,515,0,1,0
2025-01-01,MG Road,11,195,0,0,0
2025-01-01,MG Road,12,199,0,0,0
2025-01-01,MG Road,13,213,0,0,0
2025-01-01,MG Road,14,203,0,0,0
2025-01-01,MG Road,15,201,0,0,0
2025-01-01,MG Road,16,205,0,0,0
2025-01-01,MG Road,17,493,0,0,1
2025-01-01,MG Road,18,484,0,0,1
2025-01-01,MG Road,19,492,0,0,1
2025-01-01,MG Road,20,489,0,0,1
2025-01-01,MG Road,21,231,0,0,0
2025-01-01,MG Road,22,199,0,0,0
2025-01-01,Maharaja's College,6,87,0,0,0
2025-01-01,Maharaja's College,7,77,0,0,0
2025-01-01,Maharaja's College,8,190,0,1,0
2025-01-01,Maharaja's College,9,215,0,1,0
2025-01-01,Maharaja's College,10,204,0,1,0
2025-01-01,Maharaja's College,11,69,0,0,0
2025-01-01,Maharaja's College,12,78,0,0,0
2025-01-01,Maharaja's College,13,74,0,0,0
2025-01-01,Maharaja's College,14,75,0,0,0
2025-01-01,Maharaja's College,15,77,0,0,0
2025-01-01,Maharaja's College,16,72,0,0,0
2025-01-01,Maharaja's College,17,206,0,0,1
2025-01-01,Maharaja's College,18,213,0,0,1
2025-01-01,Maharaja's College,19,194,0,0,1
2025-01-01,Maharaja's College,20,197,0,0,1
2025-01-01,Maharaja's College,21,81,0,0,0
2025-01-01,Maharaja's College,22,79,0,0,0
2025-01-01,Ernakulam South,6,190,0,0,0
2025-01-01,Ernakulam South,7,185,0,0,0
2025-01-01,Ernakulam South,8,516,0,1,0
2025-01-01,Ernakulam South,9,503,0,1,0
2025-01-01,Ernakulam South,10,496,0,1,0
2025-01-01,Ernakulam South,11,184,0,0,0
2025-01-01,Ernakulam South,12,190,0,0,0
2025-01-01,Ernakulam South,13,199,0,0,0
2025-01-01,Ernakulam South,14,204,0,0,0
2025-01-01,Ernakulam South,15,197,0,0,0
2025-01-01,Ernakulam South,16,210,0,0,0
2025-01-01,Ernakulam South,17,524,0,0,1
2025-01-01,Ernakulam South,18,533,0,0,1
2025-01-01,Ernakulam South,19,505,0,0,1
2025-01-01,Ernakulam South,20,522,0,0,1
2025-01-01,Ernakulam South,21,200,0,0,0
2025-01-01,Ernakulam South,22,198,0,0,0
2025-01-01,Kadavanthra,6,82,0,0,0
2025-01-01,Kadavanthra,7,80,0,0,0
2025-01-01,Kadavanthra,8,194,0,1,0
2025-01-01,Kadavanthra,9,200,0,1,0
2025-01-01,Kadavanthra,10,222,0,1,0
2025-01-01,Kadavanthra,11,82,0,0,0
2025-01-01,Kadavanthra,12,83,0,0,0
2025-01-01,Kadavanthra,13,76,0,0,0
2025-01-01,Kadavanthra,14,69,0,0,0
2025-01-01,Kadavanthra,15,93,0,0,0
2025-01-01,Kadavanthra,16,73,0,0,0
2025-01-01,Kadavanthra,17,198,0,0,1
2025-01-01,Kadavanthra,18,218,0,0,1
2025-01-01,Kadavanthra,19,208,0,0,1
2025-01-01,Kadavanthra,20,180,0,0,1
2025-01-01,Kadavanthra,21,78,0,0,0
2025-01-01,Kadavanthra,22,82,0,0,0
2025-01-01,Elamkulam,6,87,0,0,0
2025-01-01,Elamkulam,7,89,0,0,0
2025-01-01,Elamkulam,8,203,0,1,0
2025-01-01,Elamkulam,9,204,0,1,0
2025-01-01,Elamkulam,10,221,0,1,0
2025-01-01,Elamkulam,11,78,0,0,0
2025-01-01,Elamkulam,12,67,0,0,0
2025-01-01,Elamkulam,13,69,0,0,0
2025-01-01,Elamkulam,14,91,0,0,0
2025-01-01,Elamkulam,15,73,0,0,0
2025-01-01,Elamkulam,16,91,0,0,0
2025-01-01,Elamkulam,17,191,0,0,1
2025-01-01,Elamkulam,18,208,0,0,1
2025-01-01,Elamkulam,19,223,0,0,1
2025-01-01,Elamkulam,20,182,0,0,1
2025-01-01,Elamkulam,21,74,0,0,0
2025-01-01,Elamkulam,22,96,0,0,0
2025-01-01,Vyttila,6,84,0,0,0
2025-01-01,Vyttila,7,68,0,0,0
2025-01-01,Vyttila,8,215,0,1,0
2025-01-01,Vyttila,9,182,0,1,0
2025-01-01,Vyttila,10,210,0,1,0
2025-01-01,Vyttila,11,80,0,0,0
2025-01-01,Vyttila,12,67,0,0,0
2025-01-01,Vyttila,13,78,0,0,0
2025-01-01,Vyttila,14,88,0,0,0
2025-01-01,Vyttila,15,91,0,0,0
2025-01-01,Vyttila,16,81,0,0,0
2025-01-01,Vyttila,17,202,0,0,1
2025-01-01,Vyttila,18,186,0,0,1
2025-01-01,Vyttila,19,205,0,0,1
2025-01-01,Vyttila,20,214,0,0,1
2025-01-01,Vyttila,21,75,0,0,0
2025-01-01,Vyttila,22,80,0,0,0
2025-01-01,Thaikoodam,6,84,0,0,0
2025-01-01,Thaikoodam,7,87,0,0,0
2025-01-01,Thaikoodam,8,193,0,1,0
2025-01-01,Thaikoodam,9,193,0,1,0
2025-01-01,Thaikoodam,10,221,0,1,0
2025-01-01,Thaikoodam,11,78,0,0,0
2025-01-01,Thaikoodam,12,79,0,0,0
2025-01-01,Thaikoodam,13,82,0,0,0
2025-01-01,Thaikoodam,14,84,0,0,0
2025-01-01,Thaikoodam,15,80,0,0,0
2025-01-01,Thaikoodam,16,77,0,0,0
2025-01-01,Thaikoodam,17,184,0,0,1
2025-01-01,Thaikoodam,18,219,0,0,1
2025-01-01,Thaikoodam,19,224,0,0,1
2025-01-01,Thaikoodam,20,220,0,0,1
2025-01-01,Thaikoodam,21,69,0,0,0
2025-01-01,Thaikoodam,22,76,0,0,0
2025-01-01,Petta,6,82,0,0,0
2025-01-01,Petta,7,82,0,0,0
2025-01-01,Petta,8,208,0,1,0
2025-01-01,Petta,9,199,0,1,0
2025-01-01,Petta,10,199,0,1,0
2025-01-01,Petta,11,60,0,0,0
2025-01-01,Petta,12,75,0,0,0
2025-01-01,Petta,13,85,0,0,0
2025-01-01,Petta,14,68,0,0,0
2025-01-01,Petta,15,86,0,0,0
2025-01-01,Petta,16,85,0,0,0
2025-01-01,Petta,17,218,0,0,1
2025-01-01,Petta,18,219,0,0,1
2025-01-01,Petta,19,197,0,0,1
2025-01-01,Petta,20,196,0,0,1
2025-01-01,Petta,21,90,0,0,0
2025-01-01,Petta,22,73,0,0,0
2025-01-01,Vadakkekotta,6,85,0,0,0
2025-01-01,Vadakkekotta,7,86,0,0,0
2025-01-01,Vadakkekotta,8,205,0,1,0
2025-01-01,Vadakkekotta,9,203,0,1,0
2025-01-01,Vadakkekotta,10,189,0,1,0
2025-01-01,Vadakkekotta,11,105,0,0,0
2025-01-01,Vadakkekotta,12,73,0,0,0
2025-01-01,Vadakkekotta,13,78,0,0,0
2025-01-01,Vadakkekotta,14,65,0,0,0
2025-01-01,Vadakkekotta,15,85,0,0,0
2025-01-01,Vadakkekotta,16,83,0,0,0
2025-01-01,Vadakkekotta,17,200,0,0,1
2025-01-01,Vadakkekotta,18,204,0,0,1
2025-01-01,Vadakkekotta,19,197,0,0,1
2025-01-01,Vadakkekotta,20,216,0,0,1
2025-01-01,Vadakkekotta,21,72,0,0,0
2025-01-01,Vadakkekotta,22,93,0,0,0
2025-01-01,SN Junction,6,78,0,0,0
2025-01-01,SN Junction,7,84,0,0,0
