date,train_id,scheduled_dep_min,actual_dep_min,delay_min,route,direction,demand_level,day_of_week,hour_of_day,had_maintenance,cert_days_remaining,mileage_km,weather_code,incident_flag
2026-01-01,KMRL-1,360,362,2,Full,Northbound,high,3,6,0,365,310000,0,0
2026-01-01,KMRL-2,366,368,2,Full,Southbound,medium,3,6,0,300,296000,0,0
2026-01-01,KMRL-3,372,372,0,Full,Northbound,medium,3,6,0,257,273000,0,0
2026-01-01,KMRL-4,378,380,2,Full,Southbound,high,3,6,1,365,332000,0,0
2026-01-01,KMRL-5,384,390,6,Full,Northbound,low,3,6,1,212,287000,0,1
2026-01-02,KMRL-1,360,361,1,Full,Northbound,high,4,6,0,364,310500,0,0
2026-01-02,KMRL-6,366,366,0,Full,Southbound,medium,4,6,0,365,299000,0,0
2026-01-02,KMRL-7,372,375,3,Full,Northbound,medium,4,6,1,317,265000,0,0
2026-01-03,KMRL-9,360,365,5,Full,Northbound,high,5,6,1,209,256000,0,1
2026-01-03,KMRL-10,366,366,0,Full,Southbound,high,5,6,0,365,376000,0,0
2026-01-04,KMRL-13,480,487,7,Full,Northbound,high,6,8,1,208,241000,0,1
2026-01-04,KMRL-21,480,490,10,Full,Southbound,medium,6,8,1,177,229000,0,1
2026-01-05,KMRL-25,600,605,5,Full,Northbound,high,0,10,1,221,253000,0,1
2026-01-05,KMRL-1,600,600,0,Full,Southbound,high,0,10,0,360,311200,0,0
2026-01-06,KMRL-2,720,721,1,Full,Northbound,medium,1,12,0,295,297100,0,0
2026-01-06,KMRL-8,720,720,0,Full,Southbound,medium,1,12,0,365,343000,0,0
2026-01-07,KMRL-17,840,848,8,Full,Northbound,low,2,14,1,250,269000,0,1
2026-01-07,KMRL-5,840,850,10,Full,Southbound,low,2,14,1,207,288500,0,1
2026-01-08,KMRL-3,960,960,0,Full,Northbound,medium,3,16,0,250,274500,0,0
2026-01-08,KMRL-11,960,963,3,Full,Southbound,medium,3,16,0,295,289000,0,0
2026-01-09,KMRL-4,1080,1082,2,Full,Northbound,high,4,18,0,360,333000,0,0
2026-01-09,KMRL-16,1080,1080,0,Full,Southbound,high,4,18,0,365,327500,0,0
2026-01-10,KMRL-19,480,488,8,Full,Northbound,high,5,8,1,294,282000,0,1
2026-01-10,KMRL-13,540,549,9,Full,Southbound,high,5,9,1,203,242500,0,1
2026-01-11,KMRL-22,660,660,0,Full,Northbound,medium,6,11,0,350,341000,0,0
2026-01-11,KMRL-24,720,721,1,Full,Southbound,medium,6,12,0,365,365500,0,0
2026-01-12,KMRL-1,360,362,2,Full,Northbound,high,0,6,0,352,311800,0,0
2026-01-12,KMRL-6,420,420,0,Full,Southbound,medium,0,7,0,359,300000,0,0
2026-01-13,KMRL-9,480,492,12,Full,Northbound,high,1,8,1,196,257500,0,1
2026-01-13,KMRL-21,480,498,18,Full,Southbound,low,1,8,1,169,230500,2,1
2026-01-14,KMRL-25,540,548,8,Full,Northbound,high,2,9,1,208,254000,0,1
2026-01-14,KMRL-13,600,615,15,Full,Southbound,high,2,10,1,190,244000,1,1
2026-01-15,KMRL-2,360,361,1,Full,Northbound,high,3,6,0,286,298200,0,0
2026-01-15,KMRL-10,360,360,0,Full,Southbound,high,3,6,0,351,377500,0,0
2026-01-16,KMRL-7,480,484,4,Full,Northbound,medium,4,8,0,308,266500,0,0
2026-01-16,KMRL-14,480,480,0,Full,Southbound,medium,4,8,0,365,360000,0,0
2026-01-17,KMRL-17,600,611,11,Full,Northbound,low,5,10,1,239,270000,0,1
2026-01-17,KMRL-5,660,673,13,Full,Southbound,low,5,11,1,194,289500,0,1
2026-01-18,KMRL-4,720,722,2,Full,Northbound,high,6,12,0,348,334000,0,0
2026-01-18,KMRL-28,720,720,0,Full,Southbound,high,6,12,0,365,387000,0,0
2026-01-19,KMRL-19,840,850,10,Full,Northbound,medium,0,14,1,281,283000,0,1
2026-01-19,KMRL-27,840,844,4,Full,Southbound,medium,0,14,0,300,276500,0,0
2026-01-20,KMRL-3,1080,1080,0,Full,Northbound,high,1,18,0,238,275500,0,0
2026-01-20,KMRL-16,1080,1081,1,Full,Southbound,high,1,18,0,351,328500,0,0
2026-01-21,KMRL-13,360,377,17,Full,Northbound,high,2,6,1,179,245000,0,1
2026-01-21,KMRL-9,420,436,16,Full,Southbound,high,2,7,1,184,259000,1,1
2026-01-22,KMRL-1,360,362,2,Full,Northbound,high,3,6,0,342,312500,0,0
2026-01-22,KMRL-8,360,360,0,Full,Southbound,high,3,6,0,351,344500,0,0
2026-01-23,KMRL-4,480,481,1,Full,Northbound,medium,4,8,0,338,335000,0,0
2026-01-23,KMRL-22,480,480,0,Full,Southbound,medium,4,8,0,340,342000,0,0
