date,train_id,repair_type,duration_minutes,downtime_trips_lost,severity
2025-10-18,KMRL-1,Brake pad inspection,166,2,High
2025-11-24,KMRL-1,Passenger door seal replacement,219,3,Low
2025-12-03,KMRL-1,HVAC filter replacement,94,1,Medium
2025-12-14,KMRL-1,Coupling mechanism check,341,5,High
2025-03-23,KMRL-10,Door sensor calibration,322,5,High
2025-03-26,KMRL-10,Battery voltage check,254,4,Medium
2025-04-23,KMRL-10,Passenger door seal replacement,181,3,Medium
2025-05-20,KMRL-10,HVAC filter replacement,135,2,Low
2025-05-29,KMRL-10,Fire suppression system test,53,0,Low
2025-08-12,KMRL-10,Speedometer calibration,64,1,Medium
2025-09-11,KMRL-10,Battery voltage check,302,5,Low
2025-09-15,KMRL-10,Traction motor inspection,298,4,Medium
2025-09-26,KMRL-10,Brake pad inspection,287,4,Low
2025-10-15,KMRL-10,Coupling mechanism check,229,3,High
2025-11-03,KMRL-10,Passenger door seal replacement,170,2,Low
2025-12-23,KMRL-10,Battery voltage check,34,0,Medium
2026-02-11,KMRL-10,Passenger door seal replacement,127,2,Medium
2025-01-01,KMRL-11,Air conditioning service,207,3,High
2025-01-30,KMRL-11,Brake pad inspection,350,5,Medium
2025-03-02,KMRL-11,Door sensor calibration,117,1,Low
2025-05-19,KMRL-11,Air conditioning service,56,0,Low
2025-07-08,KMRL-11,Pantograph wire check,196,3,High
2025-07-29,KMRL-11,Traction motor inspection,343,5,Medium
2025-10-01,KMRL-11,Traction motor inspection,151,2,Low
2025-10-09,KMRL-11,Passenger door seal replacement,165,2,Low
2025-11-24,KMRL-11,Traction motor inspection,105,1,Low
2026-02-26,KMRL-11,Battery voltage check,137,2,Low
2025-01-09,KMRL-12,Air conditioning service,305,5,High
2025-02-24,KMRL-12,Air conditioning service,225,3,Medium
2025-04-16,KMRL-12,Door sensor calibration,256,4,Medium
2025-11-17,KMRL-12,Fire suppression system test,354,5,High
2026-01-10,KMRL-12,HVAC filter replacement,173,2,Medium
2025-01-07,KMRL-13,Brake pad inspection,359,5,Low
2025-01-11,KMRL-13,HVAC filter replacement,188,3,Low
2025-02-17,KMRL-13,HVAC filter replacement,283,4,Medium
2025-03-12,KMRL-13,Fire suppression system test,36,0,Low
2025-04-05,KMRL-13,Door sensor calibration,120,2,High
2025-04-07,KMRL-13,HVAC filter replacement,65,1,Low
2025-05-08,KMRL-13,Traction motor inspection,72,1,Low
2025-07-13,KMRL-13,Brake pad inspection,226,3,Low
2025-07-26,KMRL-13,Passenger door seal replacement,81,1,High
2025-08-07,KMRL-13,Speedometer calibration,155,2,High
2025-08-11,KMRL-13,HVAC filter replacement,218,3,Medium
2025-08-17,KMRL-13,Passenger door seal replacement,148,2,High
2025-09-09,KMRL-13,Air conditioning service,122,2,Medium
2025-10-25,KMRL-13,Coupling mechanism check,352,5,Low
2025-11-18,KMRL-13,Brake pad inspection,337,5,Low
2026-02-23,KMRL-13,Air conditioning service,231,3,High
2025-04-14,KMRL-14,Speedometer calibration,101,1,High
2025-08-16,KMRL-14,Traction motor inspection,113,1,Medium
2025-10-05,KMRL-14,Passenger door seal replacement,203,3,Low
2025-01-13,KMRL-15,Coupling mechanism check,146,2,Medium
2025-03-05,KMRL-15,Brake pad inspection,40,0,Low
2025-03-17,KMRL-15,Air conditioning service,210,3,Medium
2025-03-21,KMRL-15,Brake pad inspection,154,2,High
2025-04-26,KMRL-15,Air conditioning service,226,3,High
2025-08-01,KMRL-15,Brake pad inspection,102,1,Low
2025-10-06,KMRL-15,Pantograph wire check,181,3,High
2025-12-21,KMRL-15,Air conditioning service,166,2,High
2026-02-26,KMRL-15,Speedometer calibration,87,1,Low
2025-02-09,KMRL-16,Wheel flange measurement,345,5,Low
2025-04-25,KMRL-16,Traction motor inspection,82,1,Medium
2025-07-04,KMRL-16,Brake pad inspection,73,1,High
2025-03-18,KMRL-17,Fire suppression system test,184,3,Medium
2025-04-02,KMRL-17,Battery voltage check,249,4,Medium
2025-06-28,KMRL-17,Traction motor inspection,83,1,Medium
2025-11-04,KMRL-17,Air conditioning service,122,2,Medium
2025-03-12,KMRL-18,Coupling mechanism check,155,2,Medium
2025-03-16,KMRL-18,Wheel flange measurement,76,1,Low
2025-03-17,KMRL-18,HVAC filter replacement,193,3,Medium
2025-04-04,KMRL-18,Wheel flange measurement,227,3,Medium
2025-07-08,KMRL-18,Passenger door seal replacement,165,2,Low
2025-07-31,KMRL-18,Air conditioning service,338,5,Medium
2025-08-17,KMRL-18,Pantograph wire check,274,4,Low
2025-09-10,KMRL-18,Battery voltage check,302,5,Low
2025-09-11,KMRL-18,Speedometer calibration,247,4,High
2025-10-09,KMRL-18,Battery voltage check,284,4,High
2025-10-23,KMRL-18,Passenger door seal replacement,248,4,Medium
2026-02-08,KMRL-18,HVAC filter replacement,31,0,High
2025-01-09,KMRL-19,Battery voltage check,215,3,Medium
2025-03-10,KMRL-19,Brake pad inspection,86,1,Medium
2025-03-12,KMRL-19,Passenger door seal replacement,90,1,High
2025-03-15,KMRL-19,Coupling mechanism check,312,5,Low
2025-03-15,KMRL-19,Passenger door seal replacement,223,3,Low
2025-04-18,KMRL-19,Brake pad inspection,144,2,High
2025-05-01,KMRL-19,Brake pad inspection,215,3,Low
2025-07-04,KMRL-19,Traction motor inspection,101,1,Medium
2025-10-25,KMRL-19,Battery voltage check,245,4,High
2025-12-23,KMRL-19,Wheel flange measurement,247,4,Low
2025-12-26,KMRL-19,Air conditioning service,84,1,High
2026-02-02,KMRL-19,Passenger door seal replacement,142,2,Low
2025-02-14,KMRL-2,Coupling mechanism check,186,3,Medium
2025-02-16,KMRL-2,Pantograph wire check,354,5,Low
2025-04-04,KMRL-2,Wheel flange measurement,254,4,Medium
2025-05-27,KMRL-2,Speedometer calibration,313,5,Low
2025-08-06,KMRL-2,Passenger door seal replacement,290,4,Low
2025-09-15,KMRL-2,Traction motor inspection,176,2,Medium
2025-09-24,KMRL-2,Traction motor inspection,147,2,High
2025-10-22,KMRL-2,Pantograph wire check,59,0,High
2026-01-09,KMRL-2,Pantograph wire check,152,2,Low
2025-01-29,KMRL-20,Coupling mechanism check,142,2,Low
2025-02-03,KMRL-20,Fire suppression system test,138,2,Low
2025-02-09,KMRL-20,Fire suppression system test,36,0,Medium
2025-02-23,KMRL-20,Wheel flange measurement,69,1,High
2025-03-06,KMRL-20,Coupling mechanism check,138,2,High
2025-03-13,KMRL-20,Passenger door seal replacement,300,5,Medium
2025-03-18,KMRL-20,Speedometer calibration,123,2,High
2025-03-26,KMRL-20,Wheel flange measurement,57,0,High
2025-05-13,KMRL-20,Battery voltage check,322,5,Medium
2025-05-20,KMRL-20,Battery voltage check,77,1,Medium
2025-05-25,KMRL-20,Battery voltage check,113,1,Low
2025-05-27,KMRL-20,HVAC filter replacement,86,1,Low
2025-07-07,KMRL-20,Pantograph wire check,102,1,Low
2025-08-05,KMRL-20,Battery voltage check,262,4,High
2025-08-06,KMRL-20,Traction motor inspection,129,2,Low
2025-08-16,KMRL-20,Passenger door seal replacement,360,6,Low
2025-08-29,KMRL-20,Passenger door seal replacement,240,4,Medium
2025-09-15,KMRL-20,Brake pad inspection,112,1,Medium
2025-11-01,KMRL-20,Brake pad inspection,110,1,Low
2025-11-25,KMRL-20,Fire suppression system test,46,0,Low
2025-12-01,KMRL-20,Coupling mechanism check,358,5,Medium
2025-12-30,KMRL-20,Coupling mechanism check,146,2,Low
2026-02-03,KMRL-20,Brake pad inspection,201,3,Low
2026-02-23,KMRL-20,Speedometer calibration,269,4,Medium
2026-02-26,KMRL-20,Fire suppression system test,316,5,Low
2025-01-20,KMRL-21,HVAC filter replacement,178,2,Low
2025-01-24,KMRL-21,Wheel flange measurement,54,0,Low
2025-02-17,KMRL-21,Door sensor calibration,148,2,High
2025-03-08,KMRL-21,Wheel flange measurement,79,1,Medium
2025-05-04,KMRL-21,Pantograph wire check,167,2,High
2025-06-08,KMRL-21,Wheel flange measurement,34,0,Medium
2025-07-23,KMRL-21,Door sensor calibration,286,4,Medium
2025-09-14,KMRL-21,Passenger door seal replacement,294,4,High
2025-10-10,KMRL-21,Air conditioning service,133,2,Low
2025-10-17,KMRL-21,Fire suppression system test,52,0,Medium
2025-12-01,KMRL-21,Passenger door seal replacement,102,1,Low
2025-12-16,KMRL-21,Pantograph wire check,267,4,High
2026-01-15,KMRL-21,Pantograph wire check,287,4,High
2026-01-20,KMRL-21,Passenger door seal replacement,230,3,Medium
2026-02-12,KMRL-21,Speedometer calibration,225,3,High
2026-02-18,KMRL-21,Brake pad inspection,106,1,High
2025-02-15,KMRL-22,HVAC filter replacement,66,1,High
2025-03-15,KMRL-22,Battery voltage check,188,3,Low
2025-03-28,KMRL-22,HVAC filter replacement,181,3,Low
2025-05-24,KMRL-22,Wheel flange measurement,325,5,Medium
2025-06-23,KMRL-22,Wheel flange measurement,178,2,High
2025-07-18,KMRL-22,Door sensor calibration,152,2,High
2025-08-09,KMRL-22,Passenger door seal replacement,50,0,High
2025-09-13,KMRL-22,Speedometer calibration,78,1,Medium
2025-09-25,KMRL-22,Speedometer calibration,204,3,Low
2025-11-07,KMRL-22,HVAC filter replacement,68,1,High
2025-11-18,KMRL-22,Pantograph wire check,284,4,Low
2026-01-31,KMRL-22,Traction motor inspection,265,4,Medium
2025-02-12,KMRL-23,Battery voltage check,241,4,Medium
2025-03-05,KMRL-23,Speedometer calibration,321,5,Low
2025-07-06,KMRL-23,Coupling mechanism check,176,2,Medium
2025-09-20,KMRL-23,Wheel flange measurement,349,5,Medium
2025-11-14,KMRL-23,Speedometer calibration,96,1,Medium
2026-01-26,KMRL-23,Air conditioning service,256,4,Low
2025-01-05,KMRL-24,Pantograph wire check,109,1,Medium
2025-01-30,KMRL-24,Passenger door seal replacement,155,2,High
2025-02-07,KMRL-24,Coupling mechanism check,144,2,Medium
2025-07-12,KMRL-24,Fire suppression system test,111,1,Medium
2025-12-09,KMRL-24,Wheel flange measurement,77,1,Medium
2025-12-16,KMRL-24,Fire suppression system test,51,0,High
2025-01-28,KMRL-25,Brake pad inspection,138,2,High
2025-02-17,KMRL-25,Wheel flange measurement,249,4,Medium
2025-02-25,KMRL-25,HVAC filter replacement,73,1,High
2025-02-25,KMRL-25,Coupling mechanism check,233,3,Low
2025-03-26,KMRL-25,Wheel flange measurement,131,2,Medium
2025-04-01,KMRL-25,HVAC filter replacement,72,1,Low
2025-04-20,KMRL-25,HVAC filter replacement,162,2,Low
2025-05-21,KMRL-25,Pantograph wire check,237,3,Medium
2025-06-13,KMRL-25,Brake pad inspection,320,5,High
2025-06-15,KMRL-25,Brake pad inspection,192,3,Low
2025-06-25,KMRL-25,Speedometer calibration,339,5,Low
2025-07-01,KMRL-25,Coupling mechanism check,322,5,Low
2025-07-25,KMRL-25,Pantograph wire check,198,3,Medium
2025-08-05,KMRL-25,Traction motor inspection,168,2,High
2025-08-21,KMRL-25,Battery voltage check,49,0,Low
2025-08-29,KMRL-25,Air conditioning service,104,1,Low
2025-09-04,KMRL-25,Battery voltage check,273,4,High
2025-10-15,KMRL-25,Door sensor calibration,335,5,Low
2025-12-26,KMRL-25,Pantograph wire check,273,4,Medium
2025-12-31,KMRL-25,Coupling mechanism check,261,4,High
2026-01-06,KMRL-25,Fire suppression system test,326,5,Low
2026-02-01,KMRL-25,Brake pad inspection,224,3,Medium
2026-02-06,KMRL-25,Passenger door seal replacement,112,1,Medium
2026-02-09,KMRL-25,Speedometer calibration,250,4,Low
2025-02-19,KMRL-26,Door sensor calibration,48,0,High
2025-03-17,KMRL-26,Wheel flange measurement,285,4,Low
2025-04-07,KMRL-26,Passenger door seal replacement,245,4,High
2025-04-21,KMRL-26,Door sensor calibration,208,3,Low
2025-11-21,KMRL-26,Air conditioning service,260,4,High
2025-12-14,KMRL-26,Brake pad inspection,325,5,Medium
2026-01-05,KMRL-26,Speedometer calibration,31,0,Low
2026-02-01,KMRL-26,Fire suppression system test,115,1,Medium
2026-02-10,KMRL-26,Traction motor inspection,238,3,High
2025-01-09,KMRL-27,Traction motor inspection,184,3,High
2025-06-30,KMRL-27,Battery voltage check,210,3,Medium
2025-08-23,KMRL-27,Wheel flange measurement,249,4,Low
2025-09-25,KMRL-27,Pantograph wire check,201,3,Low
2025-10-11,KMRL-27,HVAC filter replacement,334,5,High
2025-11-29,KMRL-27,Coupling mechanism check,263,4,Medium
2026-02-24,KMRL-27,Passenger door seal replacement,93,1,Medium
2025-01-09,KMRL-28,Coupling mechanism check,345,5,Low
2025-07-15,KMRL-28,Air conditioning service,175,2,High
2025-09-12,KMRL-28,Battery voltage check,349,5,Low
2025-11-21,KMRL-28,Battery voltage check,257,4,High
2025-12-15,KMRL-28,Air conditioning service,253,4,Medium
2025-12-26,KMRL-28,Pantograph wire check,347,5,Low
2026-02-17,KMRL-28,Pantograph wire check,83,1,High
2026-02-17,KMRL-28,Air conditioning service,46,0,Medium
2025-03-05,KMRL-29,Speedometer calibration,209,3,Medium
2025-04-19,KMRL-29,Speedometer calibration,144,2,High
2025-05-04,KMRL-29,Coupling mechanism check,32,0,Low
2025-05-16,KMRL-29,Coupling mechanism check,187,3,High
2025-07-15,KMRL-29,Door sensor calibration,88,1,Medium
2025-07-22,KMRL-29,Wheel flange measurement,33,0,Low
2025-09-17,KMRL-29,Traction motor inspection,175,2,High
2026-02-25,KMRL-29,Passenger door seal replacement,360,6,High
2025-01-22,KMRL-3,Speedometer calibration,340,5,Low
2025-02-08,KMRL-3,HVAC filter replacement,217,3,High
2025-09-12,KMRL-3,Air conditioning service,293,4,High
2025-09-30,KMRL-3,Coupling mechanism check,93,1,Low
2025-11-12,KMRL-3,Passenger door seal replacement,127,2,Low
2025-12-05,KMRL-3,Air conditioning service,300,5,High
2025-12-12,KMRL-3,Door sensor calibration,298,4,Low
2026-01-01,KMRL-3,Passenger door seal replacement,247,4,High
2026-01-19,KMRL-3,Door sensor calibration,206,3,High
