date,train_id,trip_no,delay_minutes,is_weekend
2025-01-01,KMRL-1,1,0.38,0
2025-01-01,KMRL-1,2,2.41,0
2025-01-01,KMRL-1,3,1.05,0
2025-01-01,KMRL-1,4,0.73,0
2025-01-01,KMRL-1,5,0.14,0
2025-01-01,KMRL-1,6,0.14,0
2025-01-01,KMRL-1,7,0.05,0
2025-01-01,KMRL-1,8,1.61,0
2025-01-01,KMRL-1,9,0.74,0
2025-01-01,KMRL-2,1,0.99,0
2025-01-01,KMRL-2,2,0.02,0
2025-01-01,KMRL-2,3,2.8,0
2025-01-01,KMRL-2,4,1.43,0
2025-01-01,KMRL-2,5,0.19,0
2025-01-01,KMRL-2,6,0.16,0
2025-01-01,KMRL-2,7,0.16,0
2025-01-01,KMRL-3,1,0.29,0
2025-01-01,KMRL-3,2,0.6,0
2025-01-01,KMRL-3,3,0.45,0
2025-01-01,KMRL-3,4,0.28,0
2025-01-01,KMRL-3,5,0.76,0
2025-01-01,KMRL-3,6,0.12,0
2025-01-01,KMRL-3,7,0.28,0
2025-01-01,KMRL-4,1,0.37,0
2025-01-01,KMRL-4,2,0.49,0
2025-01-01,KMRL-4,3,1.23,0
2025-01-01,KMRL-4,4,0.18,0
2025-01-01,KMRL-4,5,0.58,0
2025-01-01,KMRL-4,6,0.72,0
2025-01-01,KMRL-4,7,0.04,0
2025-01-01,KMRL-4,8,0.75,0
2025-01-01,KMRL-4,9,0.15,0
2025-01-01,KMRL-5,1,0.05,0
2025-01-01,KMRL-5,2,2.38,0
2025-01-01,KMRL-5,3,2.7,0
2025-01-01,KMRL-5,4,1.32,0
2025-01-01,KMRL-5,5,0.29,0
2025-01-01,KMRL-5,6,0.08,0
2025-01-01,KMRL-5,7,0.92,0
2025-01-01,KMRL-5,8,0.46,0
2025-01-01,KMRL-6,1,0.1,0
2025-01-01,KMRL-6,2,0.55,0
2025-01-01,KMRL-6,3,0.03,0
2025-01-01,KMRL-6,4,1.92,0
2025-01-01,KMRL-6,5,0.24,0
2025-01-01,KMRL-6,6,0.87,0
2025-01-01,KMRL-6,7,0.3,0
2025-01-01,KMRL-7,1,1.47,0
2025-01-01,KMRL-7,2,1.58,0
2025-01-01,KMRL-7,3,0.41,0
2025-01-01,KMRL-7,4,6.99,0
2025-01-01,KMRL-7,5,2.98,0
2025-01-01,KMRL-7,6,5.61,0
2025-01-01,KMRL-7,7,4.5,0
2025-01-01,KMRL-8,1,0.73,0
2025-01-01,KMRL-8,2,2.04,0
2025-01-01,KMRL-8,3,0.07,0
2025-01-01,KMRL-8,4,0.17,0
2025-01-01,KMRL-8,5,0.04,0
2025-01-01,KMRL-8,6,0.31,0
2025-01-01,KMRL-8,7,0.39,0
2025-01-01,KMRL-9,1,0.63,0
2025-01-01,KMRL-9,2,3.53,0
2025-01-01,KMRL-9,3,0.88,0
2025-01-01,KMRL-9,4,0.66,0
2025-01-01,KMRL-9,5,1.56,0
2025-01-01,KMRL-9,6,0.3,0
2025-01-01,KMRL-9,7,3.24,0
2025-01-01,KMRL-9,8,0.15,0
2025-01-01,KMRL-9,9,8.67,0
2025-01-01,KMRL-10,1,5.18,0
2025-01-01,KMRL-10,2,0.78,0
2025-01-01,KMRL-10,3,0.02,0
2025-01-01,KMRL-10,4,5.91,0
2025-01-01,KMRL-10,5,4.29,0
2025-01-01,KMRL-10,6,4.57,0
2025-01-01,KMRL-10,7,5.16,0
2025-01-01,KMRL-11,1,0.06,0
2025-01-01,KMRL-11,2,0.36,0
2025-01-01,KMRL-11,3,0.1,0
2025-01-01,KMRL-11,4,1.59,0
2025-01-01,KMRL-11,5,0.78,0
2025-01-01,KMRL-11,6,0.32,0
2025-01-01,KMRL-11,7,0.05,0
2025-01-01,KMRL-11,8,0.3,0
2025-01-01,KMRL-11,9,0.31,0
2025-01-01,KMRL-12,1,1.05,0
2025-01-01,KMRL-12,2,0.81,0
2025-01-01,KMRL-12,3,1.75,0
2025-01-01,KMRL-12,4,0.51,0
2025-01-01,KMRL-12,5,0.1,0
2025-01-01,KMRL-12,6,1.0,0
2025-01-01,KMRL-12,7,1.14,0
2025-01-01,KMRL-12,8,0.66,0
2025-01-01,KMRL-12,9,1.18,0
2025-01-01,KMRL-13,1,1.36,0
2025-01-01,KMRL-13,2,1.48,0
2025-01-01,KMRL-13,3,1.12,0
2025-01-01,KMRL-13,4,0.05,0
2025-01-01,KMRL-13,5,0.23,0
2025-01-01,KMRL-13,6,0.06,0
2025-01-01,KMRL-13,7,2.02,0
2025-01-01,KMRL-13,8,0.75,0
2025-01-01,KMRL-13,9,1.42,0
2025-01-01,KMRL-14,1,1.91,0
2025-01-01,KMRL-14,2,0.23,0
2025-01-01,KMRL-14,3,0.42,0
2025-01-01,KMRL-14,4,1.13,0
2025-01-01,KMRL-14,5,0.21,0
2025-01-01,KMRL-14,6,0.06,0
2025-01-01,KMRL-14,7,0.27,0
2025-01-01,KMRL-15,1,0.14,0
2025-01-01,KMRL-15,2,2.12,0
2025-01-01,KMRL-15,3,1.32,0
2025-01-01,KMRL-15,4,0.8,0
2025-01-01,KMRL-15,5,1.64,0
2025-01-01,KMRL-15,6,1.3,0
2025-01-01,KMRL-15,7,0.17,0
2025-01-01,KMRL-15,8,1.78,0
2025-01-01,KMRL-15,9,0.62,0
2025-01-01,KMRL-16,1,1.32,0
2025-01-01,KMRL-16,2,1.81,0
2025-01-01,KMRL-16,3,0.31,0
2025-01-01,KMRL-16,4,0.09,0
2025-01-01,KMRL-16,5,0.21,0
2025-01-01,KMRL-16,6,0.45,0
2025-01-01,KMRL-16,7,1.36,0
2025-01-01,KMRL-16,8,1.58,0
2025-01-01,KMRL-17,1,0.01,0
2025-01-01,KMRL-17,2,0.57,0
2025-01-01,KMRL-17,3,0.43,0
2025-01-01,KMRL-17,4,0.2,0
2025-01-01,KMRL-17,5,0.1,0
2025-01-01,KMRL-17,6,0.33,0
2025-01-01,KMRL-17,7,2.29,0
2025-01-01,KMRL-18,1,0.31,0
2025-01-01,KMRL-18,2,0.59,0
2025-01-01,KMRL-18,3,0.97,0
2025-01-01,KMRL-18,4,0.36,0
2025-01-01,KMRL-18,5,2.85,0
2025-01-01,KMRL-18,6,2.63,0
2025-01-01,KMRL-18,7,0.23,0
2025-01-01,KMRL-19,1,1.38,0
2025-01-01,KMRL-19,2,0.72,0
2025-01-01,KMRL-19,3,0.67,0
2025-01-01,KMRL-19,4,0.08,0
2025-01-01,KMRL-19,5,1.88,0
2025-01-01,KMRL-19,6,1.4,0
2025-01-01,KMRL-19,7,0.11,0
2025-01-01,KMRL-20,1,1.14,0
2025-01-01,KMRL-20,2,8.36,0
2025-01-01,KMRL-20,3,0.96,0
2025-01-01,KMRL-20,4,0.55,0
2025-01-01,KMRL-20,5,2.35,0
2025-01-01,KMRL-20,6,14.85,0
2025-01-01,KMRL-20,7,0.97,0
2025-01-01,KMRL-21,1,2.23,0
2025-01-01,KMRL-21,2,2.87,0
2025-01-01,KMRL-21,3,0.54,0
2025-01-01,KMRL-21,4,2.61,0
2025-01-01,KMRL-21,5,0.92,0
2025-01-01,KMRL-21,6,2.0,0
2025-01-01,KMRL-21,7,2.01,0
2025-01-01,KMRL-22,1,0.61,0
2025-01-01,KMRL-22,2,0.08,0
2025-01-01,KMRL-22,3,1.44,0
2025-01-01,KMRL-22,4,0.31,0
2025-01-01,KMRL-22,5,0.17,0
2025-01-01,KMRL-22,6,0.03,0
2025-01-01,KMRL-22,7,0.72,0
2025-01-01,KMRL-22,8,0.91,0
2025-01-01,KMRL-22,9,0.01,0
2025-01-01,KMRL-23,1,0.57,0
2025-01-01,KMRL-23,2,0.21,0
2025-01-01,KMRL-23,3,0.83,0
2025-01-01,KMRL-23,4,0.15,0
2025-01-01,KMRL-23,5,0.94,0
2025-01-01,KMRL-23,6,0.39,0
2025-01-01,KMRL-23,7,2.21,0
2025-01-01,KMRL-23,8,0.12,0
2025-01-01,KMRL-23,9,0.33,0
2025-01-01,KMRL-24,1,0.1,0
2025-01-01,KMRL-24,2,2.07,0
2025-01-01,KMRL-24,3,1.68,0
2025-01-01,KMRL-24,4,0.24,0
2025-01-01,KMRL-24,5,0.86,0
2025-01-01,KMRL-24,6,1.36,0
2025-01-01,KMRL-24,7,0.65,0
2025-01-01,KMRL-25,1,1.51,0
2025-01-01,KMRL-25,2,0.55,0
2025-01-01,KMRL-25,3,0.2,0
2025-01-01,KMRL-25,4,4.55,0
2025-01-01,KMRL-25,5,4.61,0
2025-01-01,KMRL-25,6,2.01,0
2025-01-01,KMRL-25,7,0.83,0
2025-01-01,KMRL-25,8,0.86,0
2025-01-01,KMRL-25,9,2.59,0
2025-01-01,KMRL-26,1,1.82,0
2025-01-01,KMRL-26,2,1.74,0
2025-01-01,KMRL-26,3,1.21,0
2025-01-01,KMRL-26,4,0.82,0
2025-01-01,KMRL-26,5,0.07,0
2025-01-01,KMRL-26,6,0.14,0
2025-01-01,KMRL-26,7,1.83,0
2025-01-01,KMRL-27,1,0.75,0
2025-01-01,KMRL-27,2,0.01,0
2025-01-01,KMRL-27,3,0.09,0
2025-01-01,KMRL-27,4,0.87,0
2025-01-01,KMRL-27,5,0.0,0
2025-01-01,KMRL-27,6,0.14,0
2025-01-01,KMRL-27,7,0.64,0
2025-01-01,KMRL-27,8,0.94,0
2025-01-01,KMRL-27,9,0.84,0
2025-01-01,KMRL-28,1,0.2,0
2025-01-01,KMRL-28,2,1.0,0
2025-01-01,KMRL-28,3,0.22,0
2025-01-01,KMRL-28,4,0.31,0
2025-01-01,KMRL-28,5,1.1,0
2025-01-01,KMRL-28,6,0.84,0
2025-01-01,KMRL-28,7,1.51,0
2025-01-01,KMRL-28,8,0.86,0
2025-01-01,KMRL-28,9,0.67,0
2025-01-01,KMRL-29,1,0.08,0
2025-01-01,KMRL-29,2,0.37,0
2025-01-01,KMRL-29,3,0.25,0
2025-01-01,KMRL-29,4,0.22,0
2025-01-01,KMRL-29,5,2.89,0
2025-01-01,KMRL-29,6,0.4,0
2025-01-01,KMRL-29,7,1.78,0
2025-01-01,KMRL-29,8,0.8,0
2025-01-01,KMRL-29,9,1.27,0
2025-01-01,KMRL-30,1,2.44,0
2025-01-01,KMRL-30,2,3.01,0
2025-01-01,KMRL-30,3,2.37,0
2025-01-01,KMRL-30,4,0.76,0
2025-01-01,KMRL-30,5,4.49,0
2025-01-01,KMRL-30,6,1.15,0
2025-01-01,KMRL-30,7,0.09,0
2025-01-01,KMRL-30,8,3.63,0
2025-01-01,KMRL-30,9,0.68,0
2025-01-02,KMRL-1,1,2.26,0
2025-01-02,KMRL-1,2,2.46,0
2025-01-02,KMRL-1,3,1.97,0
2025-01-02,KMRL-1,4,0.37,0
2025-01-02,KMRL-1,5,0.01,0
2025-01-02,KMRL-1,6,2.11,0
2025-01-02,KMRL-1,7,0.45,0
2025-01-02,KMRL-1,8,2.72,0
2025-01-02,KMRL-2,1,2.65,0
2025-01-02,KMRL-2,2,1.53,0
2025-01-02,KMRL-2,3,0.28,0
2025-01-02,KMRL-2,4,0.39,0
2025-01-02,KMRL-2,5,1.52,0
2025-01-02,KMRL-2,6,0.3,0
2025-01-02,KMRL-2,7,0.15,0
2025-01-02,KMRL-3,1,0.65,0
2025-01-02,KMRL-3,2,2.2,0
2025-01-02,KMRL-3,3,0.95,0
2025-01-02,KMRL-3,4,0.68,0
2025-01-02,KMRL-3,5,0.08,0
2025-01-02,KMRL-3,6,0.76,0
2025-01-02,KMRL-3,7,3.69,0
2025-01-02,KMRL-3,8,0.12,0
2025-01-02,KMRL-4,1,0.58,0
2025-01-02,KMRL-4,2,1.68,0
2025-01-02,KMRL-4,3,1.08,0
2025-01-02,KMRL-4,4,0.96,0
2025-01-02,KMRL-4,5,0.97,0
2025-01-02,KMRL-4,6,0.36,0
2025-01-02,KMRL-4,7,0.28,0
2025-01-02,KMRL-4,8,1.33,0
2025-01-02,KMRL-4,9,1.33,0
2025-01-02,KMRL-5,1,1.61,0
2025-01-02,KMRL-5,2,1.96,0
2025-01-02,KMRL-5,3,0.57,0
2025-01-02,KMRL-5,4,0.56,0
2025-01-02,KMRL-5,5,1.28,0
2025-01-02,KMRL-5,6,0.84,0
2025-01-02,KMRL-5,7,0.97,0
2025-01-02,KMRL-5,8,1.27,0
2025-01-02,KMRL-6,1,1.77,0
2025-01-02,KMRL-6,2,0.33,0
2025-01-02,KMRL-6,3,0.38,0
2025-01-02,KMRL-6,4,0.08,0
2025-01-02,KMRL-6,5,0.69,0
2025-01-02,KMRL-6,6,0.03,0
2025-01-02,KMRL-6,7,0.5,0
2025-01-02,KMRL-7,1,1.56,0
2025-01-02,KMRL-7,2,0.68,0
2025-01-02,KMRL-7,3,1.79,0
2025-01-02,KMRL-7,4,0.06,0
2025-01-02,KMRL-7,5,0.08,0
2025-01-02,KMRL-7,6,3.46,0
2025-01-02,KMRL-7,7,0.89,0
2025-01-02,KMRL-8,1,0.11,0
2025-01-02,KMRL-8,2,0.59,0
2025-01-02,KMRL-8,3,1.18,0
2025-01-02,KMRL-8,4,0.19,0
2025-01-02,KMRL-8,5,0.78,0
2025-01-02,KMRL-8,6,0.07,0
2025-01-02,KMRL-8,7,0.04,0
2025-01-02,KMRL-8,8,0.61,0
2025-01-02,KMRL-8,9,0.62,0
2025-01-02,KMRL-9,1,2.03,0
2025-01-02,KMRL-9,2,2.59,0
2025-01-02,KMRL-9,3,7.45,0
2025-01-02,KMRL-9,4,1.45,0
2025-01-02,KMRL-9,5,0.78,0
2025-01-02,KMRL-9,6,3.17,0
2025-01-02,KMRL-9,7,0.63,0
2025-01-02,KMRL-9,8,1.16,0
2025-01-02,KMRL-10,1,0.29,0
2025-01-02,KMRL-10,2,0.09,0
2025-01-02,KMRL-10,3,11.51,0
2025-01-02,KMRL-10,4,6.33,0
2025-01-02,KMRL-10,5,4.17,0
2025-01-02,KMRL-10,6,1.84,0
2025-01-02,KMRL-10,7,0.67,0
2025-01-02,KMRL-10,8,0.6,0
2025-01-02,KMRL-11,1,0.23,0
2025-01-02,KMRL-11,2,0.64,0
2025-01-02,KMRL-11,3,1.0,0
2025-01-02,KMRL-11,4,0.86,0
2025-01-02,KMRL-11,5,0.26,0
2025-01-02,KMRL-11,6,2.48,0
2025-01-02,KMRL-11,7,1.07,0
2025-01-02,KMRL-11,8,0.65,0
2025-01-02,KMRL-12,1,0.76,0
2025-01-02,KMRL-12,2,0.44,0
2025-01-02,KMRL-12,3,0.23,0
2025-01-02,KMRL-12,4,0.35,0
2025-01-02,KMRL-12,5,1.13,0
2025-01-02,KMRL-12,6,0.01,0
2025-01-02,KMRL-12,7,0.1,0
2025-01-02,KMRL-13,1,0.09,0
2025-01-02,KMRL-13,2,0.08,0
2025-01-02,KMRL-13,3,3.87,0
2025-01-02,KMRL-13,4,2.43,0
2025-01-02,KMRL-13,5,1.29,0
2025-01-02,KMRL-13,6,0.21,0
2025-01-02,KMRL-13,7,1.35,0
2025-01-02,KMRL-14,1,0.51,0
2025-01-02,KMRL-14,2,0.15,0
2025-01-02,KMRL-14,3,0.46,0
2025-01-02,KMRL-14,4,0.41,0
2025-01-02,KMRL-14,5,0.77,0
2025-01-02,KMRL-14,6,0.81,0
2025-01-02,KMRL-14,7,0.04,0
2025-01-02,KMRL-14,8,0.38,0
2025-01-02,KMRL-15,1,0.79,0
2025-01-02,KMRL-15,2,0.56,0
2025-01-02,KMRL-15,3,1.55,0
2025-01-02,KMRL-15,4,0.86,0
2025-01-02,KMRL-15,5,0.14,0
2025-01-02,KMRL-15,6,0.06,0
2025-01-02,KMRL-15,7,0.82,0
2025-01-02,KMRL-16,1,0.02,0
2025-01-02,KMRL-16,2,0.71,0
2025-01-02,KMRL-16,3,2.25,0
2025-01-02,KMRL-16,4,0.69,0
2025-01-02,KMRL-16,5,0.39,0
2025-01-02,KMRL-16,6,0.82,0
2025-01-02,KMRL-16,7,0.49,0
2025-01-02,KMRL-17,1,0.63,0
2025-01-02,KMRL-17,2,2.27,0
2025-01-02,KMRL-17,3,0.39,0
2025-01-02,KMRL-17,4,2.6,0
2025-01-02,KMRL-17,5,1.89,0
2025-01-02,KMRL-17,6,0.17,0
2025-01-02,KMRL-17,7,0.06,0
2025-01-02,KMRL-17,8,0.08,0
2025-01-02,KMRL-18,1,0.01,0
2025-01-02,KMRL-18,2,0.08,0
2025-01-02,KMRL-18,3,0.92,0
2025-01-02,KMRL-18,4,0.06,0
2025-01-02,KMRL-18,5,0.31,0
2025-01-02,KMRL-18,6,1.49,0
2025-01-02,KMRL-18,7,0.02,0
2025-01-02,KMRL-19,1,3.37,0
2025-01-02,KMRL-19,2,0.66,0
2025-01-02,KMRL-19,3,0.25,0
2025-01-02,KMRL-19,4,2.39,0
2025-01-02,KMRL-19,5,1.98,0
2025-01-02,KMRL-19,6,4.2,0
2025-01-02,KMRL-19,7,2.66,0
2025-01-02,KMRL-19,8,3.25,0
2025-01-02,KMRL-20,1,1.16,0
2025-01-02,KMRL-20,2,0.68,0
2025-01-02,KMRL-20,3,4.86,0
2025-01-02,KMRL-20,4,5.75,0
2025-01-02,KMRL-20,5,16.3,0
